timestamp;buyer;seller;symbol;currency;price;quantity
100;;TAKER;INTARIAN_PEPPER_ROOT;XIRECS;11993.0;10
100;;TAKER;ASH_COATED_OSMIUM;XIRECS;9986.0;15
200;TAKER;;ASH_COATED_OSMIUM;XIRECS;10004.0;15
300;TAKER;;INTARIAN_PEPPER_ROOT;XIRECS;12009.0;11
300;;TAKER;ASH_COATED_OSMIUM;XIRECS;9990.0;7
400;;TAKER;INTARIAN_PEPPER_ROOT;XIRECS;11993.0;6
500;;TAKER;INTARIAN_PEPPER_ROOT;XIRECS;11992.0;13
600;TAKER;;ASH_COATED_OSMIUM;XIRECS;10009.0;13
700;;TAKER;INTARIAN_PEPPER_ROOT;XIRECS;11992.0;13
900;;TAKER;INTARIAN_PEPPER_ROOT;XIRECS;11992.0;13
1100;;TAKER;ASH_COATED_OSMIUM;XIRECS;9989.0;11
1300;;TAKER;ASH_COATED_OSMIUM;XIRECS;9988.0;11
1400;;TAKER;INTARIAN_PEPPER_ROOT;XIRECS;11993.0;3
1600;;TAKER;ASH_COATED_OSMIUM;XIRECS;9989.0;5
1700;TAKER;;INTARIAN_PEPPER_ROOT;XIRECS;12005.0;3
2300;TAKER;;INTARIAN_PEPPER_ROOT;XIRECS;12006.0;11
2300;TAKER;;ASH_COATED_OSMIUM;XIRECS;10008.0;15
2600;;TAKER;INTARIAN_PEPPER_ROOT;XIRECS;11992.0;15
2700;TAKER;;ASH_COATED_OSMIUM;XIRECS;10013.0;7
2900;;TAKER;ASH_COATED_OSMIUM;XIRECS;9990.0;11
3000;TAKER;;INTARIAN_PEPPER_ROOT;XIRECS;12006.0;9
3000;;TAKER;ASH_COATED_OSMIUM;XIRECS;9990.0;12
3200;;TAKER;INTARIAN_PEPPER_ROOT;XIRECS;11992.0;13
3300;TAKER;;INTARIAN_PEPPER_ROOT;XIRECS;12008.0;15
3300;TAKER;;ASH_COATED_OSMIUM;XIRECS;10014.0;7
3500;TAKER;;INTARIAN_PEPPER_ROOT;XIRECS;12008.0;9
3600;;TAKER;ASH_COATED_OSMIUM;XIRECS;9989.0;5
